title,adult,genres,original_language,popularity,runtime,vote_average,vote_count,actors,director,keywords,release_year
Finding ʻOhana,False,"['Adventure', 'Action', 'Comedy', 'Family']",en,17.813,123,6.296,382,"['Kea Peahu', 'Alex Aiono', 'Lindsay Watson', 'Owen Vaccaro']",['Jude Weng'],"['hawaii', 'native hawaiian']",2021
FernGully: The Last Rainforest,False,"['Family', 'Fantasy', 'Animation', 'Adventure']",en,17.813,76,6.3,533,"['Samantha Mathis', 'Jonathan Ward', 'Christian Slater', 'Tim Curry']",['Bill Kroyer'],"['pollution', 'fairy', 'musical', 'bat', 'environment', 'rainforest', 'logger', 'poison gas', 'independent film']",1992
Emmanuelle Through Time: Emmanuelle's Supernatural Sexual Activity,False,"['Comedy', 'Fantasy', 'Science Fiction']",en,17.812,84,5.2,9,"['Allie Haze', 'Russia Hardy', 'Jason Sarcinelli', 'Nataliya Joy Prieto']",['Rolfe Kanefsky'],['softcore'],2012
Cha Cha Real Smooth,False,"['Comedy', 'Drama', 'Romance']",en,17.808,108,7.152,276,"['Dakota Johnson', 'Vanessa Burghardt', 'Evan Assante', 'Leslie Mann']",['Cooper Raiff'],"['new jersey', 'autism', 'bar mitzvah', 'late coming of age', 'mother son relationship', 'brother brother relationship']",2022
Victor Frankenstein,False,"['Drama', 'Science Fiction', 'Thriller']",en,17.807,109,5.94,2023,"['James McAvoy', 'Daniel Radcliffe', 'Jessica Brown Findlay', 'Andrew Scott']",['Paul McGuigan'],"['london, england', 'experiment', 'reanimated corpse', '19th century']",2015
The Thomas Crown Affair,False,"['Drama', 'Crime', 'Romance']",en,17.807,113,6.7,1078,"['Pierce Brosnan', 'Rene Russo', 'Denis Leary', 'Ben Gazzara']",['John McTiernan'],"['martinique', 'claude monet', 'glider', 'insurance agent', 'stolen painting']",1999
Disturbia,False,"['Thriller', 'Drama', 'Mystery']",en,17.806,105,6.692,3341,"['Shia LaBeouf', 'Sarah Roemer', 'Carrie-Anne Moss', 'David Morse']",['D. J. Caruso'],"['kidnapping', 'house arrest', 'neighbor', 'serial killer', 'voyeurism', 'girl next door']",2007
Ginger's Tale,False,['Animation'],ru,17.799,88,6.9,10,"['Natalya Tereshkova', 'Edgard Zapashnyy', 'Petr Kovrizhnykh', 'Irina Yakovleva']",['Konstantin Shchekin'],[],2021
Crocodile Dundee II,False,"['Adventure', 'Comedy']",en,17.795,110,5.809,1030,"['Paul Hogan', 'Linda Kozlowski', 'John Meillon', 'Ernie Dingo']",['John Cornell'],"['australia', 'new york city', 'crocodile', 'knife', 'adventurer', 'aftercreditsstinger', 'kangaroo']",1988
The Master,False,['Drama'],en,17.794,137,7.153,2792,"['Joaquin Phoenix', 'Philip Seymour Hoffman', 'Amy Adams', 'Rami Malek']",['Paul Thomas Anderson'],"['post-traumatic stress disorder (ptsd)', 'sexual obsession', 'religion', 'drifter', 'alcoholic', 'handjob', 'post war', 'cult leader', 'scientology', 'religious cult', 'charismatic leader', 'right hand man', '1940s', 'past life regression', 'full frontal female nudity', 'hairy vagina', 'group nudity', 'hairy triangle', 'nude dancing']",2012
Aumenta que é Rock'n'Roll,False,"['Comedy', 'Drama']",pt,17.793,0,0.0,0,"['Johnny Massaro', 'George Sauma', 'Marina Provenzzano', 'Charles Fricks']",['Tomás Portella'],[],2024
20th Century Women,False,['Drama'],en,17.793,119,7.347,1076,"['Annette Bening', 'Lucas Jade Zumann', 'Greta Gerwig', 'Elle Fanning']",['Mike Mills'],"['parent child relationship', '1970s', 'balcony', 'feminism', 'punk rock', 'coming of age', 'feminist', 'free spirit', 'single mother', 'generation gap', 'santa barbara, california', 'mother son relationship', 'teenager']",2016
Cold Skin,False,"['Horror', 'Fantasy', 'Drama']",en,17.792,106,6.258,560,"['David Oakes', 'Ray Stevenson', 'Aura Garrido', 'Winslow Iwaki']",['Xavier Gens'],"['island', 'based on novel or book', 'world war i', 'lighthouse', 'lighthouse keeper   ', 'creature', 'meteorologist', 'isolated island']",2017
This Kind of Hope,False,['Documentary'],en,17.787,81,0.0,0,['Andrei Sannikov'],['Pawel Siczek'],"['belarus', 'nuclear disarmament']",2024
West Side Story,False,"['Crime', 'Drama', 'Romance']",en,17.785,151,7.3,1765,"['Richard Beymer', 'Natalie Wood', 'Rita Moreno', 'George Chakiris']",['Robert Wise'],"['immigrant', 'showdown', 'street gang', 'slum', 'love at first sight', 'puerto rico', 'highway', 'forbidden love', 'musical', 'based on play or musical', 'rivalry', 'feud', 'interracial relationship', 'tragic love', 'attempted rape', 'policeman', 'obsessive love', 'lifting female in air', 'young love', 'modern day adaptation', 'shakespeare in modern dress', 'romeo & juliet']",1961
Something the Lord Made,False,"['TV Movie', 'Drama']",en,17.783,110,7.708,219,"['Alan Rickman', 'Yasiin Bey', 'Kyra Sedgwick', 'Gabrielle Union']",['Joseph Sargent'],"['friendship', 'mentor', 'biography', ""man of one's dreams"", 'based on true story', 'hospital', 'cardiologist', 'inspiring story', 'surgery', 'racial prejudice', 'open heart surgery', 'medical drama', '1930s', 'racial discrimination', 'medical experiment', 'medical research laboratory']",2004
Barbie: Spy Squad,False,"['Action', 'Animation', 'Family']",en,17.782,75,6.951,379,"['Erica Lindbeck', 'Stephanie Sheh', 'Jenny Pellicer', 'Alyssya Swales']",['Conrad Helten'],"['friendship', 'sibling relationship', 'spy', 'gymnastics', 'stealing', 'based on toy', 'female spy', 'high tech']",2016
Kiss and Kill,False,"['Mystery', 'Thriller', 'Romance']",en,17.778,81,5.216,44,"['Kira Noir', 'Eve Marlowe', 'Damian T. Raven', 'Madeleine Wade']",['Dean McKendrick'],"['softcore', 'erotic thriller']",2017
Doom,False,"['Action', 'Horror', 'Science Fiction']",en,17.774,105,5.13,2088,"['Dwayne Johnson', 'Karl Urban', 'Rosamund Pike', 'Deobia Oparei']",['Andrzej Bartkowiak'],"['martial arts', 'monster', 'teleportation', 'fight', 'superhuman', 'creature', 'special forces', 'commando', 'based on video game', 'severed ear', 'future war', 'wisecrack humor', 'action hero', '2040s']",2005
Mortadelo and Filemon: Mission Implausible,False,"['Comedy', 'Animation', 'Adventure']",es,17.772,91,6.6,158,"['Karra Elejalde', 'Janfri Topera', 'Gabriel Chame Buendía', 'Ramón Langa']",['Javier Fesser'],"['parody', 'based on comic', 'intelligence agency', 'adult animation']",2014
The Orphanage,False,"['Horror', 'Drama', 'Thriller']",es,17.772,105,7.227,2729,"['Belén Rueda', 'Fernando Cayo', 'Roger Príncep', 'Mabel Rivera']",['J. A. Bayona'],"['beach', 'wife', 'suppressed past', 'orphanage', 'cave', 'medium', 'haunted house', 'imaginary friend', 'gothic horror', 'missing child', 'séance']",2007
Judgment at Nuremberg,False,"['Drama', 'History', 'War']",en,17.771,190,8.032,716,"['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark', 'Marlene Dietrich']",['Stanley Kramer'],"['right and justice', 'nazi', 'court case', 'judge', 'concentration camp', 'world war ii', 'national socialism', 'national socialist party', 'nuremberg trials', 'trial', 'nuremberg, germany', 'courtroom drama']",1961
Curry & Cyanide: The Jolly Joseph Case,False,"['Documentary', 'Crime']",ml,17.769,95,6.559,18,"['Jolly Joseph', 'Renji Wilson', 'Remo Roy', 'Rojo Thomas']",['Christo Tomy'],[],2023
Letters to Juliet,False,"['Comedy', 'Drama', 'Romance']",en,17.769,105,6.989,2776,"['Amanda Seyfried', 'Christopher Egan', 'Gael García Bernal', 'Vanessa Redgrave']",['Gary Winick'],"['italy', 'letter', 'romantic comedy', 'romance', 'american abroad', 'boyfriend girlfriend relationship', 'italian stereotype', 'verona italy', 'quest']",2010
Mac & Devin Go to High School,False,['Comedy'],en,17.766,75,6.494,399,"['Snoop Dogg', 'Wiz Khalifa', 'Mike Epps', 'Teairra Mari']",['Dylan C. Brown'],"['high school', 'slacker', 'marijuana', 'stoner movie']",2012
Mesrine: Killer Instinct,False,"['Drama', 'Action', 'Thriller', 'Crime']",fr,17.76,113,7.347,878,"['Vincent Cassel', 'Cécile de France', 'Gérard Depardieu', 'Gilles Lellouche']",['Jean-François Richet'],"['casino', 'france', 'based on novel or book', 'kidnapping', 'gangster', 'based on true story', 'montreal, canada', 'prison escape', 'murder', 'shootout', 'bank robbery', 'ex soldier', '1960s', 'algerian war (1954-62)']",2008
The Prodigy,False,"['Horror', 'Thriller']",en,17.758,92,6.144,919,"['Taylor Schilling', 'Jackson Robert Scott', 'Colm Feore', 'Brittany Allen']",['Nicholas McCarthy'],"['pennsylvania, usa', 'supernatural', 'halloween', 'reincarnation', 'based on true story', 'basement', 'serial killer', 'doctor', 'car accident', 'parent', 'metronome', 'soul transference', 'maggots', 'skeleton costume', 'regression therapy']",2019
The Perfect Score,False,"['Comedy', 'Crime']",en,17.758,93,5.783,442,"['Chris Evans', 'Bryan Greenberg', 'Scarlett Johansson', 'Erika Christensen']",['Brian Robbins'],"['cheating', 'exam', 'school', 'burglary', 'hacking', 'education system', 'academic cheating']",2004
Ghosts of Girlfriends Past,False,"['Fantasy', 'Comedy', 'Romance']",en,17.757,115,5.962,2202,"['Matthew McConaughey', 'Jennifer Garner', 'Michael Douglas', 'Breckin Meyer']",['Mark Waters'],"['womanizer', 'love', 'wedding', 'ghost', 'aftercreditsstinger', 'duringcreditsstinger', 'past relationship']",2009
A Dog Named Palma,False,"['Family', 'Romance']",ru,17.755,110,8.185,163,"['Victor Dobronravov', 'Leonid Basov', 'Vladimir Ilin', 'Valeriya Fedorovich']",['Alexandr Domogarov Jr.'],[],2021
The Deep End of the Ocean,False,"['Drama', 'Mystery']",en,17.755,106,6.464,391,"['Michelle Pfeiffer', 'Treat Williams', 'Jonathan Jackson', 'Ryan Merriman']",['Ulu Grosbard'],"['kidnapping', 'reunion']",1999
3096 Days,False,['Drama'],de,17.754,111,7.437,841,"['Antonia Campbell-Hughes', 'Thure Lindhardt', 'Trine Dyrholm', 'Amelia Pidgeon']",['Sherry Hormann'],"['child abuse', 'rape', 'kidnapping', 'hostage', 'based on true story', 'survival', 'missing child', 'woman director', 'grooming', 'abduction']",2013
Flatliners,False,"['Drama', 'Science Fiction', 'Horror']",en,17.753,115,6.5,1431,"['Kiefer Sutherland', 'Julia Roberts', 'Kevin Bacon', 'William Baldwin']",['Joel Schumacher'],"['life and death', 'afterlife', 'haunted by the past', 'medical student', 'near-death experience', 'college student', 'medical experiment']",1990
Puella Magi Madoka Magica the Movie Part II: Eternal,False,"['Thriller', 'Animation', 'Fantasy']",ja,17.752,109,7.51,100,"['Aoi Yuki', 'Chiwa Saito', 'Eri Kitamura', 'Kaori Mizuhashi']",['Akiyuki Simbo'],"['magic', 'surrealism', 'teenage girl', 'psychological thriller', 'schoolgirl', 'schoolmates', 'dark fantasy', 'aftercreditsstinger', 'foreshadowing', 'anime', 'magical girl']",2012
Amityville II: The Possession,False,['Horror'],en,17.752,104,5.65,321,"['James Olson', 'Burt Young', 'Rutanya Alda', 'Jack Magner']",['Damiano Damiani'],"['child abuse', 'sibling relationship', 'exorcism', 'poltergeist', 'possession', 'house', 'dysfunctional family', 'prequel', 'church', 'demon', 'incest', 'evil', 'demonic possession', 'abusive father']",1982
Scarface,False,"['Crime', 'Drama', 'Romance']",en,17.751,93,7.46,553,"['Paul Muni', 'Ann Dvorak', 'Karen Morley', 'Osgood Perkins']",['Howard Hawks'],"['chicago, illinois', 'sibling relationship', 'based on novel or book', 'police', 'prohibition era', 'alcohol', 'gangster', 'gang war', 'beer', 'ambition', 'film noir', 'murder', 'mobster', 'black and white', 'pre-code']",1932
Summer Vacation,False,"['Comedy', 'Family']",es,17.75,100,5.485,33,"['Santiago Segura', 'Leo Harlem', 'Sirena Segura', 'Javier García']",['Santiago Segura'],"['summer vacation', 'family comedy']",2023
The Wolf's Call,False,"['Thriller', 'Action', 'Adventure']",fr,17.745,115,7.554,1866,"['François Civil', 'Omar Sy', 'Mathieu Kassovitz', 'Reda Kateb']",['Antonin Baudry'],"['nuclear missile', 'chain of command', 'sonar', 'nuclear submarine', 'french army']",2019
Solaris,False,"['Drama', 'Science Fiction', 'Mystery']",ru,17.745,167,7.845,1476,"['Donatas Banionis', 'Natalya Bondarchuk', 'Jüri Järvet', 'Anatoliy Solonitsyn']",['Andrei Tarkovsky'],"['loss of sense of reality', 'based on novel or book', 'extraterrestrial technology', '1970s', 'subconsciousness', 'soviet union', 'hallucination', 'space travel', 'astronaut']",1972
Cold Blood,False,"['Thriller', 'Action']",en,17.744,91,5.347,354,"['Jean Reno', 'Sarah Lind', 'David Gyasi', 'Ihor Ciszkewycz']",['Frédéric Petitjean'],"['hitman', 'mysterious woman', 'washington state', 'contract killer', 'hunting lodge']",2019
Charlie Countryman,False,"['Action', 'Comedy', 'Drama', 'Romance', 'Thriller']",en,17.743,108,6.406,574,"['Shia LaBeouf', 'Evan Rachel Wood', 'Mads Mikkelsen', 'Til Schweiger']",['Fredrik Bond'],[],2013
Cutthroat Island,False,"['Action', 'Adventure']",en,17.743,124,5.8,501,"['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin']",['Renny Harlin'],"['ship', 'treasure', 'exotic island', 'island', 'map', 'scalp', 'treasure map', 'sword fight', 'betrayal', 'pirate', 'heroine', 'swashbuckler', 'adventurer', 'pirate ship', '17th century']",1995
Monster Hunter: Legends of the Guild,False,"['Animation', 'Adventure', 'Action', 'Fantasy']",en,17.74,58,5.577,71,"['Dante Basco', 'Brando Eaton', 'Erica Lindbeck', 'Ben Rausch']",['Steve Yamamoto'],['based on video game'],2021
"Honey, I Blew Up the Kid",False,"['Adventure', 'Comedy', 'Family', 'Science Fiction']",en,17.739,89,5.238,1101,"['Rick Moranis', 'Marcia Strassman', 'Robert Oliveri', 'Daniel Shalikar']",['Randal Kleiser'],"['inventor', 'becoming an adult', 'infant', 'family']",1992
Ghost World,False,"['Comedy', 'Drama']",en,17.738,111,7.1,1312,"['Thora Birch', 'Scarlett Johansson', 'Steve Buscemi', 'Brad Renfro']",['Terry Zwigoff'],"['female friendship', 'based on comic', 'high school graduation', 'best friend', 'high school friends', 'cynical', 'social outcast', 'art class', 'record collector', 'plaster', 'personal ad', 'blues music', 'nunchaku', 'prank telephone call', 'aftercreditsstinger']",2001
The Guernsey Literary & Potato Peel Pie Society,False,"['Romance', 'Drama', 'History']",en,17.736,124,7.447,1263,"['Lily James', 'Jessica Brown Findlay', 'Matthew Goode', 'Michiel Huisman']",['Mike Newell'],"['london, england', 'based on novel or book', 'world war ii', 'channel islands', 'book club', 'german occupation', 'historical fiction', 'period drama', 'reading a book', 'nazi occupation', '1940s']",2018
The Kid,False,"['Comedy', 'Drama']",en,17.735,68,8.185,1942,"['Charlie Chaplin', 'Jackie Coogan', 'Edna Purviance', 'Carl Miller']",['Charlie Chaplin'],"['angel', 'suicide attempt', 'fistfight', 'slapstick comedy', 'black and white', 'class differences', 'foundling', 'silent film', 'dream sequence', 'semi autobiographical', 'car theft', 'little tramp', 'illegitimate child', 'unwed mother', 'abandoned baby', 'out of wedlock child', 'raised like own child', 'good deed doer']",1921
Extinction,False,"['Action', 'Drama', 'Science Fiction', 'Thriller']",en,17.733,96,6.025,1716,"['Michael Peña', 'Lizzy Caplan', 'Israel Broussard', 'Mike Colter']",['Ben Young'],"['alien', 'space', 'mechanic', 'alien invasion', 'spaceship']",2018
A Night at the Roxbury,False,"['Comedy', 'Romance']",en,17.733,81,6.6,841,"['Chris Kattan', 'Will Ferrell', 'Dan Hedaya', 'Molly Shannon']",['John Fortenberry'],"['night life', 'nightclub', 'flower shop', 'make a match', 'clubbing']",1998
The Innocents,False,"['Horror', 'Drama', 'Fantasy']",no,17.732,117,6.957,500,"['Rakel Lenora Fløttum', 'Alva Brynsmo Ramstad', 'Sam Ashraf', 'Mina Yasmin Bremseth Asheim']",['Eskil Vogt'],"['telepathy', 'autism', 'child murder', 'mentalism', ""children's perspectives""]",2021
Ran,False,"['Action', 'Drama', 'History']",ja,17.73,160,8.077,1417,"['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu', 'Daisuke Ryū']",['Akira Kurosawa'],"['epic', 'assassination', 'kingdom', 'gun', 'greed', 'castle', 'heir to the throne', 'revenge', 'descent into madness', 'seppuku', 'inheritance fight', 'ruins', 'king lear', 'feudal japan', 'black widow', 'hopelessness']",1985
DOA: Dead or Alive,False,"['Adventure', 'Action', 'Thriller']",en,17.73,87,5.2,766,"['Jaime Pressly', 'Devon Aoki', 'Holly Valance', 'Sarah Carter']",['Corey Yuen'],"['island', 'martial arts', 'kung fu', 'assassin', 'fight', 'competition', 'wrestling', 'nerd', 'karate', 'bikini', 'sword fight', 'ninja', 'tournament', 'explosion', 'based on video game', 'swimsuit']",2006
Stars at Noon,False,"['Drama', 'Romance', 'Thriller']",en,17.726,138,6.0,75,"['Margaret Qualley', 'Joe Alwyn', 'Danny Ramirez', 'Nick Romano']",['Claire Denis'],"['cia', 'based on novel or book', 'nicaragua', 'sandinism']",2022
Stoker,False,"['Drama', 'Horror', 'Thriller']",en,17.725,99,6.7,2125,"['Mia Wasikowska', 'Nicole Kidman', 'Matthew Goode', 'Dermot Mulroney']",['Park Chan-wook'],"['dancer', 'funeral', 'tennis', 'psychopath', 'widow', 'family relationships', 'dead body', 'death', 'mental illness', 'playing piano', 'secret', 'teenager']",2013
Dragons: Dawn of the Dragon Racers,False,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']",en,17.723,26,7.206,318,"['Jay Baruchel', 'America Ferrera', 'Christopher Mintz-Plasse', 'T.J. Miller']",['John Sanford'],"['based on novel or book', 'tournament', 'dragon', 'father son relationship', 'short film']",2014
The Lords of Salem,False,"['Horror', 'Thriller']",en,17.723,101,5.435,802,"['Sheri Moon Zombie', 'Bruce Davison', 'Jeff Daniel Phillips', 'Judy Geeson']",['Rob Zombie'],"['witch', 'sadism', 'radio station', 'sadistic', 'satanism', 'heavy metal', 'salem, massachusetts', 'death', 'witchcraft', 'evil', 'occult', 'campfire', 'coven (akelarre)', 'screaming', 'wickedness']",2013
Max Payne,False,"['Crime', 'Action', 'Drama', 'Thriller']",en,17.721,100,5.367,1938,"['Mark Wahlberg', 'Mila Kunis', 'Beau Bridges', 'Ludacris']",['John Moore'],"['new york city', 'assassin', 'based on video game', 'aftercreditsstinger']",2008
"2024, Année Quelconque",False,[],fr,17.72,0,0.0,0,"['Eva Yelmani', 'Rayan Ben Yaiche', 'Alix Gavoille', 'Horya Benabet']",[],[],2024
Shortcomings,False,"['Comedy', 'Drama', 'Romance']",en,17.72,92,6.167,42,"['Justin H. Min', 'Sherry Cola', 'Ally Maki', 'Tavi Gevinson']",['Randall Park'],"['new york city', 'friendship', 'narcissism', 'cynicism', 'based on comic', 'interracial relationship', 'hypocrisy', 'lgbt', 'berkeley, california', 'self reflection', 'movie fan', 'late coming of age', 'movie theater', 'asian american', 'unlikeable protagonist']",2023
Zookeeper,False,"['Comedy', 'Romance', 'Family']",en,17.715,102,5.4,1559,"['Kevin James', 'Rosario Dawson', 'Leslie Bibb', 'Joe Rogan']",['Frank Coraci'],"['zoo', 'anthropomorphism', 'zookeeper', 'scientist', 'ostrich', 'monkey', 'bullfrog', 'car dealership', 'duringcreditsstinger']",2011
Little Shop of Horrors,False,"['Horror', 'Comedy']",en,17.713,94,6.903,1340,"['Rick Moranis', 'Ellen Greene', 'Vincent Gardenia', 'Levi Stubbs']",['Frank Oz'],"['assistant', 'investigation', 'solar eclipse', 'florist', 'aggression', 'nerd', 'bloodthirstiness', 'plant', 'success', 'musical', 'based on play or musical', 'blonde', 'carnivorous plant', 'laughing gas', 'remake', 'crush', 'animated scene', 'puppetry', 'creature', 'motorcycle', 'eclipse', 'dentist', 'death', 'bum', 'killer plant', 'homoeroticism', 'skid row', 'based on movie', 'plant food', 'inept assistant', 'man eating plant', 'dying in arms', 'horror musical']",1986
Barbie in A Mermaid Tale 2,False,"['Animation', 'Family']",en,17.712,74,7.0,415,"['Kelly Sheridan', 'Ashleigh Ball', 'Kathleen Barr', 'Nicole Oliver']",['William Lau'],"['princess', 'mermaid', 'based on toy']",2012
Punisher: War Zone,False,"['Action', 'Crime']",en,17.711,102,5.8,1067,"['Ray Stevenson', 'Dominic West', 'Stephanie Janusauskas', 'Julie Benz']",['Lexi Alexander'],"['fbi', 'based on comic', 'broken neck', 'wall safe', 'trashed house', 'military dress uniform', 'vanity', 'flare', 'woman director']",2008
My Name Is Khan,False,"['Drama', 'Romance']",hi,17.71,165,8.043,1234,"['Shah Rukh Khan', 'Kajol', 'Jimmy Shergill', 'Sonya Jehan']",['Karan Johar'],"['autism', 'mumbai (bombay), india', 'based on true story', 'prejudice', 'religion', 'disability', ""asperger's syndrome"", 'asian american']",2010
Like Water for Chocolate,False,"['Drama', 'Romance']",es,17.71,105,7.305,430,"['Marco Leonardi', 'Lumi Cavazos', 'Regina Torné', 'Ada Carrasco']",['Alfonso Arau'],"['jealousy', 'sibling relationship', 'chocolate', 'cooking', 'marriage', 'mexican revolution', 'wedding', 'single mother', 'magic realism']",1992
Lion,False,['Drama'],en,17.707,118,8.079,6306,"['Dev Patel', 'Rooney Mara', 'David Wenham', 'Nicole Kidman']",['Garth Davis'],"['australia', 'based on novel or book', 'adoption', 'biography', 'based on true story', 'india', 'missing child', 'long lost relative', 'tasmania', 'street child']",2016
"Hail, Caesar!",False,"['Comedy', 'Crime', 'Mystery']",en,17.706,106,5.913,3617,"['Josh Brolin', 'George Clooney', 'Alden Ehrenreich', 'Ralph Fiennes']",['Joel Coen'],"['journalist', 'ransom', 'cat', 'kidnapping', 'ancient rome', 'film in film', 'disappearance', 'hollywood', 'whodunit', 'period drama', 'filmmaking', 'movie star', '1950s', 'old hollywood']",2016
The Unforgiven,False,"['Romance', 'Western', 'Drama']",en,17.705,125,6.267,176,"['Burt Lancaster', 'Audrey Hepburn', 'Audie Murphy', 'John Saxon']",['John Huston'],"['farm', 'sibling relationship', 'texas', 'native american', 'frontier', 'racism', 'stolen child']",1960
Tall Girl,False,"['Comedy', 'Drama', 'Romance']",en,17.704,101,6.345,1806,"['Ava Michelle', 'Sabrina Carpenter', 'Steve Zahn', 'Griffin Gluck']",['Nzingha Stewart'],"['high school', 'romance', 'teen movie', 'insecurity']",2019
D3: The Mighty Ducks,False,"['Comedy', 'Action', 'Family', 'Drama']",en,17.703,104,5.956,416,"['Emilio Estevez', 'Jeffrey Nordling', 'David Selby', 'Heidi Kling']",['Rob Lieberman'],"['scholarship', 'sports', 'college', 'ice hockey', 'teenage boy']",1996
Monster's Ball,False,"['Drama', 'Romance']",en,17.703,113,6.8,904,"['Billy Bob Thornton', 'Heath Ledger', 'Halle Berry', 'Sean Combs']",['Marc Forster'],"['new love', 'ethnic stereotype', 'waitress', 'unsociability', 'overweight child', 'parent child relationship', 'southern usa', 'loss of loved one', 'interracial relationship', 'electric chair', 'xenophobia']",2001
"Justice League x RWBY: Super Heroes & Huntsmen, Part One",False,"['Animation', 'Action', 'Fantasy']",en,17.701,83,7.29,88,"['Natalie Alyn Lind', 'Chandler Riggs', 'Nat Wolff', 'Lindsay Jones']",['Kerry Shawcross'],['based on comic'],2023
Bandidas,False,"['Action', 'Comedy', 'Western', 'Crime']",en,17.7,93,6.016,1035,"['Penélope Cruz', 'Salma Hayek Pinault', 'Steve Zahn', 'Dwight Yoakam']",['Joachim Rønning'],"['mexico', 'bank robber', 'revenge', 'best friend', 'bank robbery', 'bank vault', 'steam locomotive']",2006
Billionaire Boys Club,False,"['Drama', 'Thriller']",en,17.699,108,5.7,432,"['Ansel Elgort', 'Kevin Spacey', 'Taron Egerton', 'Emma Roberts']",['James Cox'],"['greed', 'based on true story', 'murder', 'scam', 'los angeles, california', '1980s', 'lies']",2018
The Stronghold,False,"['Thriller', 'Action', 'Crime']",fr,17.698,105,7.426,1147,"['Gilles Lellouche', 'François Civil', 'Karim Leklou', 'Adèle Exarchopoulos']",['Cédric Jimenez'],"['police', 'marseille, france']",2021
Hyena Road,False,"['War', 'Drama', 'Thriller', 'Action']",en,17.698,120,6.739,207,"['Paul Gross', 'Rossif Sutherland', 'Clark Johnson', 'Allan Hawco']",['Paul Gross'],[],2015
The Cutting Edge,False,"['Romance', 'Comedy', 'Drama']",en,17.698,101,7.139,305,"['D.B. Sweeney', 'Moira Kelly', 'Roy Dotrice', ""Terry O'Quinn""]",['Paul Michael Glaser'],"['sports', 'olympic games', 'romantic comedy', 'skating', 'figure skating']",1992
Devil,False,"['Horror', 'Mystery', 'Thriller']",en,17.697,80,6.063,2703,"['Chris Messina', 'Bojana Novaković', ""Jenny O'Hara"", 'Logan Marshall-Green']",['John Erick Dowdle'],"['supernatural', 'murder', 'devil', 'trapped', 'sole survivor', 'flickering light', 'lights out', 'trapped in an elevator', 'broken elevator', 'elevator', 'supernatural horror', 'suspense', 'killer among us', 'stuck in elevator']",2010
Cat's Eye,False,"['Horror', 'Thriller']",en,17.697,94,6.765,591,"['Drew Barrymore', 'James Woods', 'Alan King', 'Kenneth McMillan']",['Lewis Teague'],"['adultery', 'monster', 'cat', 'smoking', 'menace', 'anthology', 'atlantic city', 'troll', 'pets']",1985
Megamind: The Button of Doom,False,"['Animation', 'Action', 'Comedy', 'Family']",en,17.692,16,6.654,227,"['Will Ferrell', 'David Cross', 'Jordan Alexander Hauser', 'Dante James Hauser']",['Simon J. Smith'],[],2011
The Place Promised in Our Early Days,False,"['Animation', 'Adventure', 'Drama', 'Romance', 'Science Fiction']",ja,17.692,90,6.565,472,"['Hidetaka Yoshioka', 'Masato Hagiwara', 'Yuuka Nanri', 'Unsho Ishizuka']",['Makoto Shinkai'],"['airplane', 'violin', 'adult animation', 'alternate timeline', 'foreign occupation', 'anime', '1990s']",2004
The Wonder,False,"['Drama', 'Mystery']",en,17.689,108,6.6,705,"['Florence Pugh', 'Kíla Lord Cassidy', 'Tom Burke', 'Niamh Algar']",['Sebastián Lelio'],"['based on novel or book', 'nurse', 'village', 'breaking the fourth wall', 'ireland', 'fasting', '19th century', '1800s']",2022
The Happytime Murders,False,"['Action', 'Comedy', 'Crime', 'Horror']",en,17.689,91,5.722,950,"['Melissa McCarthy', 'Bill Barretta', 'Elizabeth Banks', 'Joel McHale']",['Brian Henson'],"['prostitute', 'fbi', 'adult humor', 'puppet', 'spoof', 'puppetry', 'drug lord', 'buddy cop']",2018
Inuyasha the Movie 2: The Castle Beyond the Looking Glass,False,"['Action', 'Animation', 'Adventure', 'Fantasy']",ja,17.689,100,7.7,140,"['Kappei Yamaguchi', 'Satsuki Yukino', 'Koji Tsujitani', 'Houko Kuwashima']",['Toshiya Shinohara'],['anime'],2002
Twist,False,"['Crime', 'Drama', 'Action']",en,17.683,92,5.9,173,"['Raff Law', 'Michael Caine', 'Lena Headey', 'Sophie Simnett']",['Martin Owen'],"['graffiti', 'parkour', 'art gallery', 'art theft']",2021
The House of the Spirits,False,"['Romance', 'Drama']",en,17.683,140,6.889,651,"['Meryl Streep', 'Glenn Close', 'Jeremy Irons', 'Winona Ryder']",['Bille August'],"['farm', 'central and south america', 'farm worker', 'paranormal phenomena', ""coup d'etat"", 'santiago, chile', 'domestic violence', 'estate', 'clairvoyant', 'family estate', 'family chronicle']",1993
Seobok,False,"['Science Fiction', 'Action', 'Thriller', 'Mystery']",ko,17.681,114,7.314,194,"['Gong Yoo', 'Park Bo-gum', 'Jo Woo-jin', 'Jang Young-nam']",['Lee Yong-ju'],"['brain tumor', 'clone', 'greed', 'secret organization', 'bromance', 'guilt', 'death', 'superhuman strength', 'existentialism', 'human clone', 'suspense']",2021
